,MUNICIPIO,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Internet,Taxa_Internet,Computador,Taxa_Computador,Total_Alunos,Baixa_Estrutura,Alta_Estrutura,Taxa_Alunos,IDEB23,z_score_nota,z_score_IDEB23
130,Aracoiaba,584.3351955307263,481.07452513966484,483.99600456621005,485.2882681564246,456.4045662100457,498.9852183908046,129,0.12227488151658768,820,0.7772511848341233,131,0.12417061611374408,1055,382,0,0.004351933207106645,4.533333333333333,0.11536189391602968,-0.03805829145714088
131,Mucambo,414.0425531914894,463.00957446808513,471.3888888888889,470.0755319148936,446.6766666666667,454.51800000000003,16,0.12030075187969924,122,0.9172932330827067,17,0.12781954887218044,133,133,0,0.0005486323379575202,4.3,-1.3423618691540433,-0.5837854305239465
132,Pacoti,534.9460043196544,465.8537796976242,459.86426966292134,471.5565874730022,447.59258426966295,478.8520833333333,72,0.12,427,0.7116666666666667,72,0.12,600,83,0,0.00247503310356776,4.3,-0.5446422723091299,-0.5837854305239465
133,Pindoretama,558.0454545454545,480.4722727272727,472.0818181818182,483.24704545454546,454.83947368421053,493.669375,70,0.11945392491467577,309,0.5273037542662116,71,0.12116040955631399,586,278,0,0.002417282331151179,4.1,-0.058902013563672494,-1.051551549724066
134,Altaneira,380.55555555555554,419.6361111111111,444.9032258064516,442.5138888888889,433.50967741935483,437.06,8,0.11940298507462686,60,0.8955223880597015,8,0.11940298507462686,67,67,0,0.00027637869656506656,3.8,-1.9146697934324817,-1.753200728524244
135,Aiuaba,460.0,442.1322916666666,449.5561797752809,435.34791666666666,423.9561797752809,444.56295454545455,14,0.112,106,0.848,15,0.12,125,125,0,0.0005156318965766167,4.300000000000001,-1.6687080371107634,-0.5837854305239444
136,Madalena,561.9217081850534,477.7167259786477,475.68985507246373,482.3900355871886,452.8329710144927,491.13207272727277,49,0.11161731207289294,215,0.489749430523918,50,0.11389521640091116,439,208,0,0.001810899220777078,3.8,-0.14207982299038138,-1.753200728524244
137,Orós,513.1360946745563,487.5967455621302,483.3794392523364,486.4810650887574,462.3034267912772,488.7966666666667,44,0.10891089108910891,229,0.5668316831683168,47,0.11633663366336634,404,152,0,0.0016665222897356252,4.0,-0.21863907347112108,-1.2854346093241247
138,Paraipaba,571.8840579710145,494.0582125603865,509.78531553398057,488.8985507246377,470.13033980582526,507.69566502463056,111,0.10882352941176471,453,0.4441176470588235,114,0.11176470588235295,1020,443,8,0.004207556276065193,5.35,0.4009076398515908,1.8719866952766777
139,Ibicuitinga,456.6666666666667,455.03205128205127,456.15270270270275,468.54487179487177,446.53783783783786,461.60513513513513,11,0.10679611650485436,98,0.9514563106796117,11,0.10679611650485436,103,103,0,0.00042488068277913215,4.3,-1.1100314992222096,-0.5837854305239465
140,Moraújo,572.6027397260274,490.7232876712329,513.695652173913,482.0589041095891,453.4304347826087,506.51565217391305,9,0.10465116279069768,72,0.8372093023255814,9,0.10465116279069768,86,86,0,0.0003547547448447123,4.9,0.36222447424178345,0.8195129270764117
141,Beberibe,584.9165120593692,487.8871057513915,491.5380133715377,491.2134508348794,461.53333333333336,505.14179732313573,130,0.10252365930599369,897,0.7074132492113565,137,0.10804416403785488,1268,672,0,0.0052305699588732,4.9,0.31718678275889706,0.8195129270764117
