,MUNICIPIO,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Total_Internet,Taxa_Internet,Total_Computador,Taxa_Computador,Taxa_Alunos
72,Várzea Alegre,584.2779783393502,480.1565884476534,511.82436823104695,500.0004512635379,469.14440433212997,509.08075812274365,1352,312,0.23076923076923078,1174,0.8683431952662722,320,0.23668639053254437,0.005394901179935118
73,Itapipoca,599.2099192618224,476.8211361014994,505.4592272202999,498.0433967704729,464.8857843137255,508.88389273356404,4332,837,0.19321329639889195,3353,0.7740073868882733,861,0.1987534626038781,0.017286029520324653
74,Forquilha,584.2958748221906,477.12332859174967,514.5342816500711,502.727027027027,465.42588904694173,508.821280227596,905,208,0.22983425414364642,802,0.8861878453038674,214,0.23646408839779007,0.0036112319288766873
75,Trairi,598.7751937984497,475.8582945736434,505.9662015503876,496.53953488372093,463.5438759689922,508.13662015503877,1577,228,0.14457831325301204,1265,0.8021559923906151,239,0.15155358275206088,0.006292721272749764
76,Jaguaribe,580.964824120603,484.7131658291457,507.7241206030151,502.34874371859297,464.3893467336684,508.02804020100507,1280,253,0.19765625,957,0.74765625,264,0.20625,0.005107598750234431
77,Jucás,567.8748370273794,477.5692307692307,526.702737940026,496.63780964797917,468.47235984354626,507.4513950456323,955,195,0.20418848167539266,826,0.8649214659685864,207,0.21675392670157068,0.00381074750505772
78,Aracoiaba,604.9353448275862,472.25474137931036,502.02435344827586,492.6412715517241,458.4617456896552,506.06349137931034,1119,178,0.15907059874888294,871,0.7783735478105451,182,0.16264521894548703,0.004465158594931506
79,Campos Sales,595.5757575757576,478.01242424242423,500.55747474747477,494.4054545454546,458.3276767676768,505.3757575757576,1190,206,0.173109243697479,978,0.8218487394957983,210,0.17647058823529413,0.0047484707131085725
80,Quixadá,565.851209493382,486.58096759470556,499.6990415335464,501.9759926973984,471.3822455499772,505.09789137380193,2945,710,0.24108658743633277,2319,0.7874363327674023,731,0.24821731748726655,0.011751467437062811
81,Porteiras,579.8507462686567,478.91100746268654,502.11567164179104,496.59999999999997,467.41007462686565,504.9775,683,146,0.21376281112737922,547,0.8008784773060029,150,0.21961932650073207,0.002725382770632903
82,Pindoretama,589.8916967509025,473.96732851985564,497.45144404332126,498.9725631768953,464.4231046931408,504.9412274368231,716,101,0.14106145251396648,565,0.7891061452513967,105,0.14664804469273743,0.0028570630509123845
83,Banabuiú,561.5384615384615,488.49377289377287,505.4388278388278,505.0578754578754,460.1695970695971,504.139706959707,376,57,0.15159574468085107,328,0.8723404255319149,59,0.15691489361702127,0.001500357132881364
84,Novo Oriente,570.792899408284,474.3615384615385,513.4332544378698,496.49976331360944,465.60520710059177,504.1385325443787,1027,145,0.14118792599805258,743,0.7234664070107109,149,0.1450827653359299,0.004098049934758406
85,Madalena,608.8178913738019,474.16166134185306,484.49936102236416,492.9466453674121,458.35559105431304,503.7562300319489,429,51,0.11888111888111888,228,0.5314685314685315,52,0.12121212121212122,0.0017118436436332585
86,Acopiara,587.5440222428174,475.34142724745135,496.47784986098236,495.2443929564411,460.4491195551436,503.0113623725672,1370,186,0.13576642335766423,1025,0.7481751824817519,197,0.1437956204379562,0.005466726787360289
87,Uruburetama,585.9239130434783,468.34818840579715,499.10471014492754,495.82880434782606,462.8480072463768,502.4107246376811,1359,198,0.1456953642384106,845,0.6217807211184695,211,0.15526122148638705,0.005422833360600462
88,Independência,578.1549815498155,479.85258302583026,498.80184501845014,495.0178966789668,459.3466789667897,502.2347970479705,701,152,0.21683309557774608,624,0.8901569186875892,155,0.2211126961483595,0.002797208378058075
89,Solonópole,561.6443594646272,482.47667304015295,502.1663479923518,497.14130019120455,466.831931166348,502.0521223709369,631,150,0.23771790808240886,575,0.9112519809825673,153,0.24247226624405704,0.0025178865714046298
90,Barreira,564.2082429501085,485.9088937093276,500.54164859002174,500.3058568329718,459.0971800433839,502.01236442516273,703,129,0.18349928876244664,608,0.8648648648648649,134,0.1906116642958748,0.0028051890011053164
91,Nova Russas,581.949733434882,475.36397562833207,491.71073876618425,494.85674028941355,460.13594821020564,500.8034272658035,1648,342,0.20752427184466019,1384,0.8398058252427184,353,0.21419902912621358,0.006576033390926829
92,Icó,569.2412850307587,477.1438140806562,497.4274094326726,497.5995898838004,461.71230348598766,500.6248803827751,1948,355,0.1822381930184805,1521,0.7808008213552361,368,0.188911704312115,0.007773126848013024
